imdbid,bech-title,bech-rating,imdb-Title,imdb-Year,key
134983,Supernova,3,Supernova,2000,superno00ovai
251382,Santa who?,1,Santa Who?,2000,#N/A
211181,102 Dalmatians,3,102 Dalmatians,2000,102dalm00ians
193019,Blue's Big Musical Movie,3,Blue's Big Musical Movie,2000,#N/A
181536,Finding Forrester,2,Finding Forrester,2000,finding00ster
130623,Dinosaur,3,Dinosaur,2000,dinosau00saur
279474,Tomie: Replay,3,Tomie: Replay,2000,tomie:r00play
271219,Tadpole,2,Tadpole,2000,tadpole00pole
209095,Leprechaun in the Hood,1,Leprechaun in the Hood,2000,#N/A
198021,Where the Heart Is,3,Where the Heart Is,2000,whereth00rtis
235712,Ring 0: Birthday (Ringu 0: Bâsudei),3,Ringu 0,2000,ringu0:00udei
210070,Ginger Snaps,3,Ginger Snaps,2000,gingers00naps
120755,Mission: Impossible II,0,Mission: Impossible II,2000,mission00leii
173716,Cecil B. Demented,3,Cecil B. DeMented,2000,cecilb.00nted
266308,Battle Royale,3,Battle Royale,2000,batorur00iaru
255589,"Isle, The",1,The Isle,2000,#N/A
182508,Urbania,1,Urbania,2000,urbania00ania
206917,"Man Who Cried, The",3,The Man Who Cried,2000,manwhoc00ried
212346,Miss Congeniality,3,Miss Congeniality,2000,misscon00lity
240684,"Little Mermaid 2: Return to the Sea, The",3,The Little Mermaid 2: Return to the Sea,2000,#N/A
260332,Roozi ke zan shodam,3,The Day I Became a Woman,2000,roozike00odam
138749,"Road to El Dorado, The",0,The Road to El Dorado,2000,roadtoe00rado
263215,Picture Claire,3,Picture Claire,2001,picture01aire
221889,Beautiful Creatures,3,Beautiful Creatures,2000,beautif00ures
200550,Coyote Ugly,3,Coyote Ugly,2000,coyoteu00ugly
204946,Bring It On,3,Bring It On,2000,bringit00iton
144084,American Psycho,1,American Psycho,2000,america00ycho
187393,"Patriot, The",3,The Patriot,2000,patriot00riot
210616,Center Stage,3,Center Stage,2000,centers00tage
175526,Cherry Falls,3,Cherry Falls,2000,cherryf00alls
175142,Scary Movie,3,Scary Movie,2000,scarymo00ovie
190138,"Whole Nine Yards, The",3,The Whole Nine Yards,2000,wholeni00ards
330994,Titanic - La leggenda continua,3,Titanic: The Legend Goes On...,2000,titanic00inua
204761,La fidelite,3,Fidelity,2000,lafidél00lité
231844,Juste une question d'amour,2,Just a Question of Love,2000,#N/A
330501,Ju-on 2,2,Ju-on: The Curse 2,2000,ju-on200-on2
186566,Space Cowboys,2,Space Cowboys,2000,spaceco00boys
162983,Hanging Up,3,Hanging Up,2000,hanging00ngup
210075,Girlfight,3,Girlfight,2000,girlfig00ight
233298,Batman Beyond: Return of the Joker,3,Batman Beyond: Return of the Joker,2000,#N/A
181875,Almost Famous,3,Almost Famous,2000,almostf00mous
199725,Love & Basketball,3,Love & Basketball,2000,love&ba00ball
286137,Something Between Us,3,Something Between Us,2000,somethi00enus
229440,Hellraiser: Inferno,1,Hellraiser: Inferno,2000,#N/A
190590,"O Brother, Where Art Thou?",0,"O Brother, Where Art Thou?",2000,obrothe00hou?
