imdb_id,bechdel_title,bechdel_submitter_id,bechdel_submitted_date,bechdel_dubious,bechdel_rating,bechdel_year,bechdel_site_id,bechdel_visible
0000003,Pauvre Pierrot,10044,2014-05-02 10:01:07,0,0,1892,5433,1
0000012,"Arrival of a Train, The",11866,2015-04-13 01:53:29,0,0,1896,6199,1
0000014,Tables Turned on the Gardener,10070,2014-05-04 13:11:04,0,0,1895,5444,1
0000091,"House of the Devil, The",9025,2013-12-25 14:31:21,0,0,1896,4982,1
0000131,Une nuit terrible,9969,2014-04-20 02:04:35,0,0,1896,5406,1
0000211,"Astronomer's Dream; or, The Man in the Moon, The",9985,2014-04-22 01:30:56,0,0,1898,5410,1
0000230,Cinderella,11200,2014-11-12 06:46:54,0,3,1899,5914,1
0000246,A Turn of the Century Illusionist,9040,2013-12-26 20:42:03,0,0,1899,4994,1
0000272,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),7700,2013-07-13 02:54:53,0,0,1900,4344,1
0000300,"Enchanted Drawing, The",7496,2013-06-26 10:38:34,0,0,1900,4271,1
0000304,Grandma's Reading Glass,7699,2013-07-13 02:47:01,0,0,1900,4343,1
0000306,Hamlet ( Le Duel d'Hamlet),7702,2013-07-13 03:10:33,0,0,1900,4346,1
0000313,Let Me Dream Again,10059,2014-05-03 18:33:43,0,0,1900,5438,1
0000359,L'homme a la tete en caoutchouc,9041,2013-12-26 20:47:27,0,0,1901,4995,1
0000413,Mephistopheles' School of Magic,10069,2014-05-04 13:03:40,0,0,1902,5443,1
0000417,Le voyage dans la lune,1353,2010-07-23 00:26:17,0,0,1902,1252,1
0000439,"Great Train Robbery, The",1433,2010-07-25 09:05:57,0,0,1903,1319,1
0000455,"Music Lover, The",9189,2014-01-12 00:18:28,0,0,1903,5063,1
0000499,Le voyage a travers l'impossible,11712,2015-03-07 23:28:30,0,0,1904,6135,1
0000554,Humorous Phases of Funny Faces,10054,2014-05-03 09:39:02,0,0,1906,5435,1
0000567,"400 Tricks of the Devil, The",10665,2014-08-09 02:46:49,0,0,1906,5684,1
0000574,"Story of the Kelly Gang, The",1469,2010-07-26 21:01:14,0,1,1906,1349,1
0001009,"Princess Nicotine; or, The Smoke Fairy",7862,2013-07-28 12:00:46,1,2,1909,4409,1
0002101,Cleopatra,2676,2011-02-07 06:12:54,0,2,1912,2003,1
0002281,"Invaders, The",2682,2011-02-08 01:32:35,0,0,1912,2005,1
0003424,Suspense,11201,2014-11-12 06:50:13,0,0,1913,5915,1
0003512,"Voyage of the Bourrichon Family, The",9843,2014-04-04 21:52:41,0,0,1913,5364,1
0003973,A Florida Enchantment,7991,2013-08-10 05:01:03,1,2,1914,4457,1
0004972,"Birth of a Nation, The",1359,2010-07-23 00:46:01,0,2,1915,1258,1
0006745,Gretchen the Greenhorn,2685,2011-02-08 06:49:30,0,3,1916,2008,1
0006864,Intolerance: Love's Struggle Throughout the Ages,11260,2014-11-24 21:07:22,0,0,1916,5944,1
0007361,Snow White,13773,2016-07-28 10:24:43,0,3,1916,7004,1
0007507,"Vagabond, The",9856,2014-04-07 07:12:36,0,0,1916,5368,1
0008443,"Poor Little Rich Girl, The",2663,2011-02-05 22:14:34,0,3,1917,1994,1
0008489,"Raffles, the Amateur Cracksman",2700,2011-02-11 21:49:04,1,2,1917,2019,1
0008499,Rebecca of Sunnybrook Farm,2661,2011-02-05 20:38:18,0,3,1917,1993,1
0008519,A Romance of the Redwoods,2692,2011-02-10 07:07:29,0,0,1917,2015,1
0008652,A Tale of Two Cities,2646,2011-02-04 19:35:50,0,3,1917,1981,1
0008844,Are Crooks Dishonest?,10067,2014-05-04 12:57:31,0,0,1918,5441,1
0009652,Stella Maris,2684,2011-02-08 06:03:02,0,3,1918,2007,1
0009682,Tarzan of the Apes,2665,2011-02-05 23:23:34,0,3,1918,1996,1
0009968,Broken Blossoms or The Yellow Man and the Girl,3874,2011-08-02 02:19:41,0,0,1919,2588,1
0010281,Ich mochte kein Mann sein,13950,2016-09-08 21:11:38,1,3,1918,7108,1
0010323,"Cabinet of Dr. Caligari, The",1420,2010-07-25 08:41:57,0,0,1920,1306,1
0010879,When the Clouds Roll by,2699,2011-02-11 21:47:16,1,3,1919,2018,1
0011588,Pollyanna,2659,2011-02-05 19:26:22,0,3,1920,1991,1
0011870,Within Our Gates,11272,2014-11-26 18:13:47,0,3,1920,5948,1
0011979,"Blot, The",7322,2013-06-04 13:54:11,0,3,1921,4204,1
0012349,"Kid, The",6689,2013-03-01 08:25:02,0,0,1921,3945,1
0012364,Körkarlen (The Phantom Carriage),11161,2014-11-04 10:56:21,0,2,1921,5898,1
0012532,Orphans of the Storm,1364,2010-07-23 00:52:16,0,3,1921,1263,1
0012543,"Paleface, The",9838,2014-04-04 15:34:28,0,0,1922,5361,1
0013086,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",11326,2014-12-07 19:42:39,0,3,1922,5967,1
0013140,Foolish Wives,11308,2014-12-02 11:56:08,0,3,1922,5958,1
0013257,Häxan: Witchcraft Through the Ages,6323,2013-01-03 15:24:20,0,3,1922,3800,1
0013367,"Man from Beyond, The",2674,2011-02-07 04:38:35,0,1,1922,2001,1
0013427,Nanook of the North,11169,2014-11-05 07:55:33,0,1,1922,5901,1
0013428,Nathan der Weise,2260,2010-11-25 20:51:31,0,2,1922,1778,1
0013442,"Nosferatu, eine Symphonie des Grauens",1421,2010-07-25 08:43:49,0,2,1922,1307,1
0013496,"Phantom, The",2004,2010-10-04 06:22:52,0,2,1922,1631,1
0013626,La souriante Madame Beudet,11144,2014-10-31 12:43:33,0,3,1923,5888,1
0013845,Help!,11889,2015-04-19 16:58:21,0,0,1924,6209,1
0014341,Our Hospitality,11275,2014-11-27 09:49:36,0,0,1923,5949,1
0014429,Safety Last!,2625,2011-02-04 00:31:14,0,0,1923,1961,1
0014469,"Silent Command, The",2667,2011-02-06 22:07:08,0,2,1923,1998,1
0014611,Why Worry?,2631,2011-02-04 03:26:03,0,0,1923,1967,1
0014945,Girl Shy,2693,2011-02-10 07:09:00,0,0,1924,2016,1
0015116,Manhandled,2701,2011-02-11 21:50:19,0,3,1924,2020,1
0015163,"Navigator, The",2686,2011-02-09 01:22:37,0,0,1924,2009,1
0015174,Kriemhild's Revenge,1456,2010-07-26 03:16:47,0,2,1924,1338,1
0015175,Die Nibelungen,1455,2010-07-26 03:13:38,0,2,1924,1337,1
0015324,Sherlock Jr.,2688,2011-02-09 03:32:15,0,0,1924,2011,1
0015361,Stachka,11386,2014-12-18 11:17:11,0,0,1925,5991,1
0015400,"Thief of Bagdad, The",1365,2010-07-23 00:53:24,0,0,1924,1264,1
0015498,Wild Oranges,2624,2011-02-04 00:16:17,0,0,1924,1960,1
0015532,Die Abenteuer des Prinzen Achmed,11341,2014-12-09 09:43:47,0,1,1926,5974,1
0015624,"Big Parade, The",11315,2014-12-04 21:08:33,0,2,1925,5962,1
0015648,Battleship Potemkin,1422,2010-07-25 08:46:12,0,0,1925,1308,1
0015841,"Freshman, The",2689,2011-02-09 05:12:19,0,0,1925,2012,1
0015863,Go West,2642,2011-02-04 15:33:59,0,0,1925,1978,1
0015864,"Gold Rush, The",1423,2010-07-25 08:47:28,0,0,1925,1309,1
0016039,"Lost World, The",10247,2014-05-30 07:47:51,1,2,1925,5514,1
0016220,"Phantom of the Opera, The",1419,2010-07-25 08:39:29,0,2,1925,1305,1
0016332,Seven Chances,4818,2012-02-27 19:13:37,1,0,1925,3077,1
0016884,Flesh and the Devil,1361,2010-07-23 00:49:11,0,1,1926,1260,1
0016895,For Heaven's Sake,2630,2011-02-04 03:19:10,0,0,1926,1966,1
0017136,Metropolis,1368,2010-07-23 00:56:19,0,1,1927,1267,1
0017410,So's Your Old Man,5108,2012-04-30 13:20:16,0,3,1926,3217,1
0017449,"Temptress, The",1451,2010-07-26 02:23:35,0,1,1926,1334,1
0017825,Downhill [When Boys Leave Home],14304,2016-12-13 12:50:05,0,1,1927,7324,1
0017925,"General, The",1424,2010-07-25 08:49:07,0,0,1926,1310,1
0018033,It,1322,2010-07-22 21:25:02,0,3,1927,1227,1
0018037,"Jazz Singer, The",11343,2014-12-09 13:55:51,0,1,1927,5975,1
0018051,"Kid Brother, The",2628,2011-02-04 00:45:58,0,0,1927,1964,1
0018183,My Best Girl,2687,2011-02-09 02:42:58,0,3,1927,2010,1
0018192,Abel Gance's Napoleon,1426,2010-07-25 08:52:11,0,2,1927,1312,1
0018199,Nevada,2647,2011-02-04 19:53:25,0,0,1927,1982,1
0018455,Sunrise: A Song of Two Humans,2005,2010-10-04 06:24:30,0,2,1927,1632,1
0018528,"Unknown, The",1425,2010-07-25 08:50:47,0,0,1927,1311,1
0018578,Wings,4909,2012-03-14 04:02:50,0,2,1927,3118,1
0018684,Beggars of Life,2641,2011-02-04 15:19:59,0,0,1928,1977,1
0018737,Pandora's Box (Die Büchse der Pandora),3345,2011-05-21 23:37:06,1,3,1929,2324,1
0018742,"Cameraman, The",2634,2011-02-04 04:02:11,0,0,1928,1970,1
0018773,"Circus, The",2632,2011-02-04 03:44:30,0,0,1928,1968,1
0018806,"Crowd, The",11191,2014-11-10 14:45:00,0,1,1928,5912,1
0018839,"Docks of New York, The",11367,2014-12-15 14:38:35,1,2,1928,5984,1
0018937,A Girl in Every Port,2644,2011-02-04 16:33:48,0,0,1928,1980,1
0019130,"Man Who Laughs, The",2702,2011-02-11 21:51:15,0,2,1928,2021,1
0019254,"Passion of Joan of Arc, The",1428,2010-07-25 08:56:17,0,0,1928,1314,1
0019258,"Patsy, The",2690,2011-02-09 07:01:16,0,3,1928,2013,1
0019290,"Power of the Press, The",2643,2011-02-04 16:09:33,0,1,1928,1979,1
0019304,"Racket, The",2636,2011-02-04 05:01:32,0,0,1928,1972,1
0019412,Speedy,2627,2011-02-04 00:43:01,0,0,1928,1963,1
0019421,"Steamboat Bill, Jr.",2635,2011-02-04 04:39:26,0,0,1928,1971,1
0019571,While the City Sleeps,2698,2011-02-11 21:46:21,0,2,1928,2017,1
0019702,Blackmail,11354,2014-12-12 19:23:51,0,2,1929,5979,1
0019760,Man with a Movie Camera,6586,2013-02-14 21:51:26,0,0,1929,3897,1
0019777,"Cocoanuts, The",2617,2011-02-03 17:39:55,0,2,1929,1953,1
0020286,Throw of the Dice,11500,2015-01-14 21:00:49,0,0,1929,6046,1
0020530,Un chien andalou,1427,2010-07-25 08:54:54,0,0,1929,1313,1
0020572,Welcome Danger,2626,2011-02-04 00:39:46,0,0,1929,1962,1
0020629,All Quiet on the Western Front,1430,2010-07-25 09:00:08,0,0,1930,1316,1
0020641,Anna Christie,1443,2010-07-26 02:10:29,0,3,1930,1326,1
0020642,Anna Christie,1444,2010-07-26 02:13:37,0,3,1931,1327,1
0020668,"Bat Whispers, The",13311,2016-03-18 20:50:11,0,3,1930,6782,1
0020670,Be Yourself,7440,2013-06-20 22:04:40,0,2,1930,4253,1
0020697,"Blue Angel, The",1429,2010-07-25 08:57:57,0,1,1930,1315,1
0021015,Juno and the Paycock [The Shame of Mary Boyle],14245,2016-11-22 12:03:21,0,3,1929,7287,1
0021040,Ladies of Leisure,6165,2012-12-06 01:25:24,0,3,1930,3713,1
0021079,Little Caesar,11496,2015-01-13 13:26:27,0,1,1931,6043,1
0021148,Min and Bill,6643,2013-02-22 17:25:25,0,3,1930,3927,1
0021156,Morocco,6508,2013-01-31 03:11:51,0,1,1930,3865,1
0021165,Murder!,14250,2016-11-23 13:56:04,0,3,1930,7291,1
0021577,L'Age d'Or,6527,2013-02-05 10:01:47,0,0,1930,3871,1
0021735,"Cheat, The",10813,2014-09-14 01:27:48,1,3,1931,5741,1
