imdb_id,title,imdbid,rating,date,id,dubious,submitterid,year,visible
0000003,Pauvre Pierrot,0000003,0,2014-05-02 10:01:07,5433,0,10044,1892,1
0000012,"Arrival of a Train, The",0000012,0,2015-04-13 01:53:29,6199,0,11866,1896,1
0000014,Tables Turned on the Gardener,0000014,0,2014-05-04 13:11:04,5444,0,10070,1895,1
0000091,"House of the Devil, The",0000091,0,2013-12-25 14:31:21,4982,0,9025,1896,1
0000131,Une nuit terrible,0000131,0,2014-04-20 02:04:35,5406,0,9969,1896,1
0000211,"Astronomer's Dream; or, The Man in the Moon, The",0000211,0,2014-04-22 01:30:56,5410,0,9985,1898,1
0000230,Cinderella,0000230,3,2014-11-12 06:46:54,5914,0,11200,1899,1
0000246,A Turn of the Century Illusionist,0000246,0,2013-12-26 20:42:03,4994,0,9040,1899,1
0000272,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0000272,0,2013-07-13 02:54:53,4344,0,7700,1900,1
0000300,"Enchanted Drawing, The",0000300,0,2013-06-26 10:38:34,4271,0,7496,1900,1
0000304,Grandma's Reading Glass,0000304,0,2013-07-13 02:47:01,4343,0,7699,1900,1
0000306,Hamlet ( Le Duel d'Hamlet),0000306,0,2013-07-13 03:10:33,4346,0,7702,1900,1
0000313,Let Me Dream Again,0000313,0,2014-05-03 18:33:43,5438,0,10059,1900,1
0000359,L'homme a la tete en caoutchouc,0000359,0,2013-12-26 20:47:27,4995,0,9041,1901,1
0000413,Mephistopheles' School of Magic,0000413,0,2014-05-04 13:03:40,5443,0,10069,1902,1
0000417,Le voyage dans la lune,0000417,0,2010-07-23 00:26:17,1252,0,1353,1902,1
0000439,"Great Train Robbery, The",0000439,0,2010-07-25 09:05:57,1319,0,1433,1903,1
0000455,"Music Lover, The",0000455,0,2014-01-12 00:18:28,5063,0,9189,1903,1
0000499,Le voyage a travers l'impossible,0000499,0,2015-03-07 23:28:30,6135,0,11712,1904,1
0000554,Humorous Phases of Funny Faces,0000554,0,2014-05-03 09:39:02,5435,0,10054,1906,1
0000567,"400 Tricks of the Devil, The",0000567,0,2014-08-09 02:46:49,5684,0,10665,1906,1
0000574,"Story of the Kelly Gang, The",0000574,1,2010-07-26 21:01:14,1349,0,1469,1906,1
0001009,"Princess Nicotine; or, The Smoke Fairy",0001009,2,2013-07-28 12:00:46,4409,1,7862,1909,1
0002101,Cleopatra,0002101,2,2011-02-07 06:12:54,2003,0,2676,1912,1
0002281,"Invaders, The",0002281,0,2011-02-08 01:32:35,2005,0,2682,1912,1
0003424,Suspense,0003424,0,2014-11-12 06:50:13,5915,0,11201,1913,1
0003512,"Voyage of the Bourrichon Family, The",0003512,0,2014-04-04 21:52:41,5364,0,9843,1913,1
0003973,A Florida Enchantment,0003973,2,2013-08-10 05:01:03,4457,1,7991,1914,1
0004972,"Birth of a Nation, The",0004972,2,2010-07-23 00:46:01,1258,0,1359,1915,1
0006745,Gretchen the Greenhorn,0006745,3,2011-02-08 06:49:30,2008,0,2685,1916,1
0006864,Intolerance: Love's Struggle Throughout the Ages,0006864,0,2014-11-24 21:07:22,5944,0,11260,1916,1
0007361,Snow White,0007361,3,2016-07-28 10:24:43,7004,0,13773,1916,1
0007507,"Vagabond, The",0007507,0,2014-04-07 07:12:36,5368,0,9856,1916,1
0008443,"Poor Little Rich Girl, The",0008443,3,2011-02-05 22:14:34,1994,0,2663,1917,1
