key,title,studio,totalgross,totaltheaters,openinggross,openingtheaters,boxofficemojo_url,release_date
3103,3 (2011),Strand,59954.0,6.0,9821.0,4.0,http://www.boxofficemojo.com/movies/?id=3(2011).htm,2011-09-16
4044,4,Leis.,20523.0,1.0,5815.0,1.0,http://www.boxofficemojo.com/movies/?id=4.htm,2006-04-07
120712,12,SPC,125120.0,20.0,12042.0,5.0,http://www.boxofficemojo.com/movies/?id=12.htm,2009-03-04
150515,15,Pict.,3013.0,1.0,633.0,1.0,http://www.boxofficemojo.com/movies/?id=15.htm,2005-04-13
210821,21,Sony,81159365.0,2952.0,24105943.0,2648.0,http://www.boxofficemojo.com/movies/?id=21.htm,2008-03-28
311631,31,Saban,779820.0,538.0,,,http://www.boxofficemojo.com/movies/?id=31.htm,2016-08-26
331533,The 33,WB,12227722.0,2452.0,5787266.0,2452.0,http://www.boxofficemojo.com/movies/?id=the33.htm,2015-11-13
421342,42,WB,95020213.0,3405.0,27487144.0,3003.0,http://www.boxofficemojo.com/movies/?id=42.htm,2013-04-12
30006300,300,WB,210614939.0,3280.0,70885301.0,3103.0,http://www.boxofficemojo.com/movies/?id=300.htm,2007-03-09
360011360,360,Magn.,100343.0,12.0,12186.0,2.0,http://www.boxofficemojo.com/movies/?id=360.htm,2012-08-03
1408071408,1408,MGM/W,71985628.0,2733.0,20617667.0,2678.0,http://www.boxofficemojo.com/movies/?id=1408.htm,2007-06-22
1915151915,1915,BM,111682.0,10.0,30448.0,8.0,http://www.boxofficemojo.com/movies/?id=1915.htm,2015-04-17
2046042046,2046,SPC,1444588.0,61.0,113074.0,4.0,http://www.boxofficemojo.com/movies/?id=2046.htm,2005-08-05
45365095365,45365,7Arts,853.0,1.0,107.0,1.0,http://www.boxofficemojo.com/movies/?id=45365.htm,2010-02-26
#horror15rror,#Horror,IFC,,,,,http://www.boxofficemojo.com/movies/?id=#horror.htm,2015-11-20
$9.99089.99,$9.99,Reg.,52384.0,4.0,478.0,1.0,http://www.boxofficemojo.com/movies/?id=$9.99.htm,2008-12-12
...sogo06tion,So Goes the Nation,IFC,10337.0,4.0,2622.0,4.0,http://www.boxofficemojo.com/movies/?id=sogoesthenation.htm,2006-10-04
[500]da09mmer,(500) Days of Summer,FoxS,32391374.0,1048.0,834501.0,27.0,http://www.boxofficemojo.com/movies/?id=(500)daysofsummer.htm,2009-07-17
[rec]209ec]2,[Rec] 2,Magn.,27766.0,7.0,8191.0,5.0,http://www.boxofficemojo.com/movies/?id=[rec]2.htm,2010-07-09
[rec]312esis,Rec 3: Genesis,Magn.,9600.0,8.0,3001.0,8.0,http://www.boxofficemojo.com/movies/?id=rec3genesis.htm,2012-09-07
[rec]4:14psis,REC 4: Apocalypse,Magn.,837.0,5.0,708.0,5.0,http://www.boxofficemojo.com/movies/?id=rec4apocalypse.htm,2015-01-02
[untitl09led],(Untitled),Gold.,230600.0,25.0,18002.0,3.0,http://www.boxofficemojo.com/movies/?id=(untitled).htm,2009-10-23
1+1=11031=11,1+1=11,Eros,132498.0,18.0,92342.0,18.0,http://www.boxofficemojo.com/movies/?id=1+1=11.htm,2003-03-28
"10,000b0800bc","10,000 B.C.",WB,94784201.0,3454.0,35867488.0,3410.0,http://www.boxofficemojo.com/movies/?id=10000b.c..htm,2008-03-07
10.000k1400km,"10,000 Km",BG,12423.0,11.0,8941.0,11.0,http://www.boxofficemojo.com/movies/?id=10000km.htm,2015-07-10
1001gra14gram,1001 Grams,KL,10983.0,1.0,,,http://www.boxofficemojo.com/movies/?id=1001grams.htm,2015-05-08
100bloo12cres,100 Bloody Acres,DR,6388.0,13.0,3419.0,13.0,http://www.boxofficemojo.com/movies/?id=100bloodyacres.htm,2013-06-28
101reyk00avik,101 Reykjavik,Men.,126404.0,2.0,14656.0,2.0,http://www.boxofficemojo.com/movies/?id=101reykjavik.htm,2001-07-27
102dalm00ians,102 Dalmatians,BV,66957026.0,2704.0,19883351.0,2704.0,http://www.boxofficemojo.com/movies/?id=102dalmatians.htm,2000-11-22
