key,originalorder,title,studio,totalgross,totaltheaters,openinggross,openingtheaters,opening_year,opening_month,opening_day,boxofficemojo_url
3103,99,3 (2011),Strand,"$59,954",6,"$9,821",4,2011,9,16,http://www.boxofficemojo.com/movies/?id=3(2011).htm
4044,126,4,Leis.,"$20,523",1,"$5,815",1,2006,4,7,http://www.boxofficemojo.com/movies/?id=4.htm
120712,27,12,SPC,"$125,120",20,"$12,042",5,2009,3,4,http://www.boxofficemojo.com/movies/?id=12.htm
150515,44,15,Pict.,"$3,013",1,$633,1,2005,4,13,http://www.boxofficemojo.com/movies/?id=15.htm
210821,84,21,Sony,"$81,159,365","2,952","$24,105,943","2,648",2008,3,28,http://www.boxofficemojo.com/movies/?id=21.htm
311631,119,31,Saban,"$779,820",538,,,2016,8,26,http://www.boxofficemojo.com/movies/?id=31.htm
331533,7498,The 33,WB,"$12,227,722","2,452","$5,787,266","2,452",2015,11,13,http://www.boxofficemojo.com/movies/?id=the33.htm
421342,130,42,WB,"$95,020,213","3,405","$27,487,144","3,003",2013,4,12,http://www.boxofficemojo.com/movies/?id=42.htm
30006300,116,300,WB,"$210,614,939","3,280","$70,885,301","3,103",2007,3,9,http://www.boxofficemojo.com/movies/?id=300.htm
360011360,123,360,Magn.,"$100,343",12,"$12,186",2,2012,8,3,http://www.boxofficemojo.com/movies/?id=360.htm
1408071408,43,1408,MGM/W,"$71,985,628","2,733","$20,617,667","2,678",2007,6,22,http://www.boxofficemojo.com/movies/?id=1408.htm
1915151915,54,1915,BM,"$111,682",10,"$30,448",8,2015,4,17,http://www.boxofficemojo.com/movies/?id=1915.htm
2046042046,82,2046,SPC,"$1,444,588",61,"$113,074",4,2005,8,5,http://www.boxofficemojo.com/movies/?id=2046.htm
45365095365,133,45365,7Arts,$853,1,$107,1,2010,2,26,http://www.boxofficemojo.com/movies/?id=45365.htm
#horror15rror,1,#Horror,IFC,,,,,2015,11,20,http://www.boxofficemojo.com/movies/?id=#horror.htm
$9.99089.99,2,$9.99,Reg.,"$52,384",4,$478,1,2008,12,12,http://www.boxofficemojo.com/movies/?id=$9.99.htm
...sogo06tion,6978,So Goes the Nation,IFC,"$10,337",4,"$2,622",4,2006,10,4,http://www.boxofficemojo.com/movies/?id=sogoesthenation.htm
[500]da09mmer,4,(500) Days of Summer,FoxS,"$32,391,374","1,048","$834,501",27,2009,7,17,http://www.boxofficemojo.com/movies/?id=(500)daysofsummer.htm
[rec]209ec]2,6,[Rec] 2,Magn.,"$27,766",7,"$8,191",5,2010,7,9,http://www.boxofficemojo.com/movies/?id=[rec]2.htm
[rec]312esis,6284,Rec 3: Genesis,Magn.,"$9,600",8,"$3,001",8,2012,9,7,http://www.boxofficemojo.com/movies/?id=rec3genesis.htm
