llave,imdbtitle,imdbyear
...sogo06tion,...So Goes the Nation,2006
'7114'71,'71,2014
'rxmas01xmas,'R Xmas,2001
'tisaut06aris,'Tis Autumn: The Search for Jackie Paris,2006
[500]da09mmer,[500] Days of Summer,2009
[rec]209ec]2,[Rec]²,2009
[rec]312esis,[Rec]³: Génesis,2012
[rec]4:14psis,[REC] 4: Apocalipsis,2014
[untitl09led],[Untitled],2009
#horror15rror,#Horror,2015
$9.99089.99,$9.99 ,2008
"10,000b0800bc","10,000 BC",2008
10.000k1400km,10.000 Km,2014
1001gra14gram,1001 Gram,2014
100bloo12cres,100 Bloody Acres,2012
101reyk00avik,101 Reykjavík,2000
102dalm00ians,102 Dalmatians,2000
10clove16lane,10 Cloverfield Lane,2016
10daysi15ouse,10 Days in a Madhouse,2015
10items06less,10 Items or Less,2006
10rules13ound,10 Rules for Sleeping Around,2013
10th&wo06wolf,10th & Wolf,2006
10years11ears,10 Years,2011
11-11-1111-11,11/11/2011,2011
11thhou07ouri,The 11th Hour,2007
12/12/1122/12,12/12/2012,2012
120712,12,2007
127hour10ours,127 Hours,2010
12andho05ding,12 and Holding,2005
12o'clo13boys,12 O'Clock Boys,2013
12round09unds,12 Rounds,2009
12years13lave,12 Years a Slave,2013
13assas11sins,Jûsan-nin no shikaku,2010
13going04on30,13 Going on 30,2004
13hours16ours,13 Hours,2016
13sins14sins,13 Sins,2014
13tzame05meti,13 Tzameti,2005
1408071408,1408,2007
15minut01utes,15 Minutes,2001
16block06ocks,16 Blocks,2006
16years03ohol,16 Years of Alcohol,2003
1732hot98tten,1732 Høtten,1998
17again09gain,17 Again,2009
17fille11lles,17 filles,2011
17suide04kong,17 sui de tian kong,2004
180sout10outh,180° South,2010
1915151915,1915,2015
"20,000d14arth","20,000 Days on Earth",2014
2012i09012i,2012,2009
2016oba12rica,2016: Obama's America,2012
2046042046,2046,2004
20centi05tros,20 centímetros,2005
20feetf13rdom,Twenty Feet from Stardom,2013
20thcen16omen,20th Century Women,2016
210821,21,2008
21andov13over,21 & Over,2013
21grams03rams,21 Grams,2003
21jumps12reet,21 Jump Street,2012
22jumps14reet,22 Jump Street,2014
23blast14last,23 Blast,2014
24hourp02ople,24 Hour Party People,2002
24thday04hday,The 24th Day,2004
25thhou02hour,25th Hour,2002
27dress08sses,27 Dresses,2008
28days00days,28 Days,2000
28daysl02ater,28 Days Later...,2002
28hotel12ooms,28 Hotel Rooms,2012
28weeks07ater,28 Weeks Later,2007
2automn13vers,2 automnes 3 hivers,2013
2daysin07aris,2 Days in Paris,2007
2daysin12york,2 Days in New York,2012
2fast2f03ious,2 Fast 2 Furious,2003
2guns13guns,2 Guns,2013
2jacks12acks,2 Jacks,2012
2states14ates,2 States,2014
3:10toy07yuma,3:10 to Yuma,2007
300:ris14pire,300: Rise of an Empire,2014
