key,title,metatitle,imdbtitle,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,metayear,imdbyear,cpimultiplier,sourcedataset,adjustedgrossbinned,nvotes_binned,dumpmonth
candsel13lism,When Evening Falls On Bucharest or Metabolism,When Evening Falls on Bucharest or Metabolism,Când se lasã seara peste Bucuresti sau metabolism,2014, , , , , , , ,754,6.3,67,242,CGld, , ,-1,Romania,Romanian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0000112100,2015,2013, ,Metacritic, ,"101-1,000 votes",Not a dump month
forsake15keni,Forsaken,Forsaken,Forsaken,2015,July, , , , , , ,6975,6.3,55,403,MOM, ,R,11000000,Canada,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, , , ,0000122100,2016,2015, ,Metacritic, ,"1,001-10,000 votes",Not a dump month
frankie10lice,Frankie & Alice,Frankie & Alice,Frankie & Alice,2011,July, , , , ,10670, ,4007,6.5,47,317,Free,1,R,-1,Canada,English,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0000022101,2010,2010, ,Metacritic, ,"1,001-10,000 votes",Not a dump month
middleo08here,Middle of Nowhere,Middle of Nowhere,Middle of Nowhere, , , , , , , , ,3163,6.5,75,76,Uni., ,R,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0, , , ,0000123100,2012,2008, ,Metacritic, ,"1,001-10,000 votes",Not a dump month
phoebei08land,Phoebe in Wonderland,Phoebe in Wonderland,Phoebe in Wonderland, , , , , , , , ,6844,7.2,56,220,Think, ,PG-13,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0000012211,2009,2008, ,Metacritic, ,"1,001-10,000 votes",Not a dump month
tianbia05oyun,The Wayward Cloud,The Wayward Cloud,Tian bian yi duo yun, , , , , , , , ,3980,6.6,45,351, , , ,-1,France,Mandarin,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, , , ,0000011111,2007,2005, ,Metacritic, ,"1,001-10,000 votes",Not a dump month
fantasi992000,Fantasia 2000 (35mm & IMAX),Fantasia 2000,Fantasia 2000,2000,January,1,1/1/2000,Saturday,1,60655420,86754498.5867296,28902,7.2,59,149,BV,1313, ,80000000,USA,English,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2290525,3276102.08412322,54,0000012211,2000,1999,1.43028436018957,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
nextfri00iday,Next Friday,Next Friday,Next Friday,2000,January,12,1/12/2000,Wednesday,2,57328603,81996204.2624169,29282,6.1,41,262,NL,1420,R,11000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14465156,20689286.3945023,1103,0000122100,2000,2000,1.43028436018957,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
mydogsk00skip,My Dog Skip,My Dog Skip,My Dog Skip,2000,January,14,1/14/2000,Friday,2,34134641,48822243.1629857,17110,7,61,144,WB,2331,PG,6000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,56943,81444.6823222747,5,0000012201,2000,2000,1.43028436018957,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
superno00ovai,Supernova,Supernova,Supernova,2000,January,14,1/14/2000,Friday,2,14230455,20353597.2248815,15034,4.8,19,349,MGM,2280,PG-13,90000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5778639,8265096.9848815,2280,0011211000,2000,2000,1.43028436018957,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
