key,bechdel-rating,imdb-id,imdb-url,title,metatitle,metayear,imdbtitle,imdbyear,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,nGenres,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,boxofficemojo_url,metacritic_url,meta_retrieved,cpimultiplier,sourcedataset
...sogo06tion,#N/A,,,So Goes the Nation,...So Goes the Nation,2006,...So Goes the Nation,2006,2006,October,4,10/4/2006,Wednesday,40,10337,12367.10894,364,6.3,65,174,IFC,4,,-1,USA,English,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622,3136.941051,4,1000012101,http://www.boxofficemojo.com/movies/?id=sogoesthenation.htm,http://www.metacritic.com/movie/...so goes the nation,5/9/2017,1.196392468,Metacritic
'7114'71,0,2614684,http://www.imdb.com/title/tt2614684/,'71,'71,2015,'71,2014,2015,February,27,2/27/2015,Friday,9,1270847,1307176.715,39117,7.2,83,35,RAtt.,121,R,-1,UK,English,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,55761,57355.04023,4,13200,http://www.boxofficemojo.com/movies/?id=71.htm,http://www.metacritic.com/movie/'71,5/9/2017,1.028587009,Metacritic
'rxmas01xmas,#N/A,,,'R Xmas,'R Xmas,2002,'R Xmas,2001,2002,November,8,11/8/2002,Friday,45,850,1131.920574,1086,5.7,55,235,Path.,1,R,-1,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,850,1131.920574,1,121000,http://www.boxofficemojo.com/movies/?id=rxmas.htm,http://www.metacritic.com/movie/'r xmas,5/9/2017,1.331671263,Metacritic
'tisaut06aris,#N/A,,,'Tis Autumn: The Search for Jackie Paris,'Tis Autumn: The Search for Jackie Paris,2007,'Tis Autumn: The Search for Jackie Paris,2006,2007,December,7,12/7/2007,Friday,49,1476,1696.631206,54,7.2,73,85,OutF,1,,-1,USA,English,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,1696.631206,1,111102,http://www.boxofficemojo.com/movies/?id=tisautumnthesearchforjackieparis.htm,http://www.metacritic.com/movie/'tis autumn: the search for jackie paris,5/9/2017,1.149479137,Metacritic
[500]da09mmer,1,1022603,http://www.imdb.com/title/tt1022603/,(500) Days of Summer,(500) Days of Summer,2009,[500] Days of Summer,2009,2009,July,17,7/17/2009,Friday,29,32391374,36314269.3,397873,7.7,76,67,FoxS,1048,PG-13,7500000,USA,English,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,834501,935566.7976,27,2311,http://www.boxofficemojo.com/movies/?id=(500)daysofsummer.htm,http://www.metacritic.com/movie/(500) days of summer,5/9/2017,1.121109259,Metacritic
[rec]209ec]2,1,1245112,http://www.imdb.com/title/tt1245112/,[Rec] 2,[Rec] 2,2010,[Rec]²,2009,2010,July,9,7/9/2010,Friday,28,27766,30748.91135,58160,6.6,52,282,Magn.,7,R,5600000,Spain,Spanish,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8191,9070.962071,5,122100,http://www.boxofficemojo.com/movies/?id=[rec]2.htm,http://www.metacritic.com/movie/[rec] 2,5/9/2017,1.107430359,Metacritic
[rec]312esis,3,1649444,http://www.imdb.com/title/tt1649444/,Rec 3: Genesis,[REC] 3: Genesis,2012,[Rec]³: Génesis,2012,2012,September,7,9/7/2012,Friday,36,9600,10015.89062,27453,5,45,437,Magn.,8,R,6400000,Spain,Spanish,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3001,3131.00914,8,1211000,http://www.boxofficemojo.com/movies/?id=rec3genesis.htm,http://www.metacritic.com/movie/[rec] 3: genesis,5/9/2017,1.043321939,Metacritic
[rec]4:14psis,#N/A,,,REC 4: Apocalypse,[REC] 4: Apocalypse,2015,[REC] 4: Apocalipsis,2014,2015,January,2,1/2/2015,Friday,1,837,864.6663729,11816,5.4,53,,Magn.,5,R,3333148,Spain,Spanish,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,708,731.4023799,5,1221000,http://www.boxofficemojo.com/movies/?id=rec4apocalypse.htm,http://www.metacritic.com/movie/[rec] 4: apocalypse,6/12/2017,1.033054209,Metacritic
[untitl09led],1,1132193,http://www.imdb.com/title/tt1132193/,(Untitled),(Untitled),2009,[Untitled],2009,2009,October,23,10/23/2009,Friday,43,230600,257539.9751,1893,6.4,58,204,Gold.,25,R,-1,USA,English,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18002,20105.09381,3,12101,http://www.boxofficemojo.com/movies/?id=(untitled).htm,http://www.metacritic.com/movie/(untitled),5/9/2017,1.116825564,Metacritic
#horror15rror,#N/A,,,#Horror,#Horror,2015,#Horror,2015,2015,November,20,11/20/2015,Friday,47,,,2057,3.2,42,511,IFC,,,1500000,USA,English,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,2111000000,http://www.boxofficemojo.com/movies/?id=#horror.htm,http://www.metacritic.com/movie/#horror,5/9/2017,1.017258233,Metacritic
