key,title,metatitle,metayear,imdbtitle,imdbyear,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,nGenres,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,boxofficemojo_url,metacritic_url,meta_retrieved,cpimultiplier,sourcedataset
...sogo06tion,So Goes the Nation,...So Goes the Nation,2006,...So Goes the Nation,2006,2006,October,4,10/4/2006,Wednesday,40,10337,12367.1089395441,364,6.3,65,174,IFC,4, ,-1,USA,English,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622,3136.94105054509,4,1000012101,http://www.boxofficemojo.com/movies/?id=sogoesthenation.htm,http://www.metacritic.com/movie/...so goes the nation,5/9/2017,1.19639246778989,Metacritic
'7114'71,'71,'71,2015,'71,2014,2015,February,27,2/27/2015,Friday,9,1270847,1307176.71502458,39117,7.2,83,35,RAtt.,121,R,-1,UK,English,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,55761,57355.0402263103,4,0000013200,http://www.boxofficemojo.com/movies/?id=71.htm,http://www.metacritic.com/movie/'71,5/9/2017,1.02858700931314,Metacritic
'rxmas01xmas,'R Xmas,'R Xmas,2002,'R Xmas,2001,2002,November,8,11/8/2002,Friday,45,850,1131.92057363486,1086,5.7,55,235,Path.,1,R,-1,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,850,1131.92057363486,1,0000121000,http://www.boxofficemojo.com/movies/?id=rxmas.htm,http://www.metacritic.com/movie/'r xmas,5/9/2017,1.33167126309983,Metacritic
'tisaut06aris,'Tis Autumn: The Search for Jackie Paris,'Tis Autumn: The Search for Jackie Paris,2007,'Tis Autumn: The Search for Jackie Paris,2006,2007,December,7,12/7/2007,Friday,49,1476,1696.63120607895,54,7.2,73,85,OutF,1, ,-1,USA,English,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,1696.63120607895,1,0000111102,http://www.boxofficemojo.com/movies/?id=tisautumnthesearchforjackieparis.htm,http://www.metacritic.com/movie/'tis autumn: the search for jackie paris,5/9/2017,1.14947913690986,Metacritic
[500]da09mmer,(500) Days of Summer,(500) Days of Summer,2009,[500] Days of Summer,2009,2009,July,17,7/17/2009,Friday,29,32391374,36314269.2978811,397873,7.7,76,67,FoxS,1048,PG-13,7500000,USA,English,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,834501,935566.797609484,27,0000002311,http://www.boxofficemojo.com/movies/?id=(500)daysofsummer.htm,http://www.metacritic.com/movie/(500) days of summer,5/9/2017,1.1211092588379,Metacritic
[rec]209ec]2,[Rec] 2,[Rec] 2,2010,[Rec]²,2009,2010,July,9,7/9/2010,Friday,28,27766,30748.9113485099,58160,6.6,52,282,Magn.,7,R,5600000,Spain,Spanish,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8191,9070.9620707212,5,0000122100,http://www.boxofficemojo.com/movies/?id=[rec]2.htm,http://www.metacritic.com/movie/[rec] 2,5/9/2017,1.10743035901858,Metacritic
[rec]312esis,Rec 3: Genesis,[REC] 3: Genesis,2012,[Rec]³: Génesis,2012,2012,September,7,9/7/2012,Friday,36,9600,10015.8906169649,27453,5,45,437,Magn.,8,R,6400000,Spain,Spanish,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3001,3131.0091397408,8,0001211000,http://www.boxofficemojo.com/movies/?id=rec3genesis.htm,http://www.metacritic.com/movie/[rec] 3: genesis,5/9/2017,1.04332193926718,Metacritic
[rec]4:14psis,REC 4: Apocalypse,[REC] 4: Apocalypse,2015,[REC] 4: Apocalipsis,2014,2015,January,2,1/2/2015,Friday,1,837,864.666372851476,11816,5.4,53, ,Magn.,5,R,3333148,Spain,Spanish,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,708,731.402379903041,5,0001221000,http://www.boxofficemojo.com/movies/?id=rec4apocalypse.htm,http://www.metacritic.com/movie/[rec] 4: apocalypse,6/12/2017,1.0330542089026,Metacritic
[untitl09led],(Untitled),(Untitled),2009,[Untitled],2009,2009,October,23,10/23/2009,Friday,43,230600,257539.975112986,1893,6.4,58,204,Gold.,25,R,-1,USA,English,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18002,20105.0938073893,3,0000012101,http://www.boxofficemojo.com/movies/?id=(untitled).htm,http://www.metacritic.com/movie/(untitled),5/9/2017,1.11682556423671,Metacritic
#horror15rror,#Horror,#Horror,2015,#Horror,2015,2015,November,20,11/20/2015,Friday,47, , ,2057,3.2,42,511,IFC, , ,1500000,USA,English,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1, , , ,2111000000,http://www.boxofficemojo.com/movies/?id=#horror.htm,http://www.metacritic.com/movie/#horror,5/9/2017,1.01725823305356,Metacritic
