key,title,releaseyear,opening_date,releasemonth,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,mpaa,budget,country,language,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,studio,totaltheaters,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier,sourcedataset,adjustedgrossbinned,nvotes_binned,dumpmonth
candsel13lism,When Evening Falls On Bucharest or Metabolism,2014, , , , , , ,754,6.3,67, ,-1,Romania,Romanian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGld, , , , ,0000112100,When Evening Falls on Bucharest or Metabolism,2015,Când se lasã seara peste Bucuresti sau metabolism,2013, ,Metacritic, ,"101-1,000 votes",Not a dump month
forsake15keni,Forsaken,2015, ,July, , , , ,6975,6.3,55,R,11000000,Canada,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,MOM, , , , ,0000122100,Forsaken,2016,Forsaken,2015, ,Metacritic, ,"1,001-10,000 votes",Not a dump month
frankie10lice,Frankie & Alice,2011, ,July, , ,10670, ,4007,6.5,47,R,-1,Canada,English,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Free,1, , , ,0000022101,Frankie & Alice,2010,Frankie & Alice,2010, ,Metacritic, ,"1,001-10,000 votes",Not a dump month
middleo08here,Middle of Nowhere, , , , , , , ,3163,6.5,75,R,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Uni., , , , ,0000123100,Middle of Nowhere,2012,Middle of Nowhere,2008, ,Metacritic, ,"1,001-10,000 votes",Not a dump month
phoebei08land,Phoebe in Wonderland, , , , , , , ,6844,7.2,56,PG-13,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Think, , , , ,0000012211,Phoebe in Wonderland,2009,Phoebe in Wonderland,2008, ,Metacritic, ,"1,001-10,000 votes",Not a dump month
tianbia05oyun,The Wayward Cloud, , , , , , , ,3980,6.6,45, ,-1,France,Mandarin,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, , , , , ,0000011111,The Wayward Cloud,2007,Tian bian yi duo yun,2005, ,Metacritic, ,"1,001-10,000 votes",Not a dump month
fantasi992000,Fantasia 2000 (35mm & IMAX),2000,1/1/2000,January,Saturday,1,60655420,86754498.5867296,28902,7.2,59, ,80000000,USA,English,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,BV,1313,2290525,3276102.08412322,54,0000012211,Fantasia 2000,2000,Fantasia 2000,1999,1.43028436018957,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
nextfri00iday,Next Friday,2000,1/12/2000,January,Wednesday,2,57328603,81996204.2624169,29282,6.1,41,R,11000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NL,1420,14465156,20689286.3945023,1103,0000122100,Next Friday,2000,Next Friday,2000,1.43028436018957,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
mydogsk00skip,My Dog Skip,2000,1/14/2000,January,Friday,2,34134641,48822243.1629857,17110,7,61,PG,6000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,WB,2331,56943,81444.6823222747,5,0000012201,My Dog Skip,2000,My Dog Skip,2000,1.43028436018957,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
superno00ovai,Supernova,2000,1/14/2000,January,Friday,2,14230455,20353597.2248815,15034,4.8,19,PG-13,90000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,MGM,2280,5778639,8265096.9848815,2280,0011211000,Supernova,2000,Supernova,2000,1.43028436018957,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
theevir98rist,The Terrorist,2000,1/14/2000,January,Friday,2,153629,219733.155971563,1786,7.2,68, ,16279,India,Tamil,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pha.,1,13734,19643.5254028436,1,0000012211,Theeviravaathi: The Terrorist,2000,Theeviravaathi: The Terrorist,1998,1.43028436018957,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
downtoy00oyou,Down to You,2000,1/21/2000,January,Friday,3,20069008,28704388.2669194,12680,4.9,13,PG-13,35000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Mira.,2003,7602507,10873746.8603317,1971,0001111000,Down to You,2000,Down to You,2000,1.43028436018957,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
bigteas99ease,The Big Tease,2000,1/28/2000,January,Friday,4,187152,267680.578578198,2160,6.3,53,R,4000000,UK,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,WB,4,29010,41492.5492890994,4,0000122100,The Big Tease,2000,The Big Tease,1999,1.43028436018957,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
eyeofth99lder,Eye of the Beholder,2000,1/28/2000,January,Friday,4,16500786,23600816.146635,13563,4.9,29,R,35000000,Canada,English,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Dest.,1751,5959447,8523703.83947865,1751,1001111000,Eye of the Beholder,2000,Eye of the Beholder,1999,1.43028436018957,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
grizzly99alls,Grizzly Falls,2000,1/28/2000,January,Friday,4,168874,241537.841042653,472,5.9,34,R,-1,UK,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Prov.,96,65802,94115.5714691941,96,0000121000,Grizzly Falls,2000,Grizzly Falls,1999,1.43028436018957,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
isn'tsh00reat,Isn't She Great,2000,1/28/2000,January,Friday,4,2962465,4237167.35710899,2024,5.4,34,R,44000000,USA,English,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Uni.,750,1368705,1957637.35521327,750,0001111000,Isn't She Great,2000,Isn't She Great,2000,1.43028436018957,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
