key,title,year,opening_date,releasemonth,releaseweekday,releaseweeknumber,total_gross,adjusted_gross,nVotes,userscore,metascore,metacritic_user_score,studio,total_theaters,opening_gross,adjusted_opening_gross,opening_theaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier
fantasi992000,Fantasia 2000 [35mm & IMAX],2000,1/1/00,January,Saturday,1,60655420,84991251.28,27013,7.3,59,7.5,BV,1313,2290525,3209516.739,54,12211,Fantasia/2000,2000,Fantasia/2000,1999,1.401214455
nextfri00iday,Next Friday,2000,1/12/00,January,Wednesday,2,57328603,80329667.21,26773,6.1,41,7.8,NL,1420,14465156,20268785.68,1103,122100,Next Friday,2000,Next Friday,2000,1.401214455
mydogsk00skip,My Dog Skip,2000,1/14/00,January,Friday,2,34134641,47829952.38,16472,7,61,8.3,WB,2331,56943,79789.35471,5,12201,My Dog Skip,2000,My Dog Skip,2000,1.401214455
superno00ovai,Supernova,2000,1/14/00,January,Friday,2,14230455,19939919.25,14451,4.8,19,4.5,MGM,2280,5778639,8097112.497,2280,11211000,Supernova,2000,Supernova,2000,1.401214455
theevir98rist,The Terrorist,2000,1/14/00,January,Friday,2,153629,215267.1755,1751,7.2,68, ,Pha.,1,13734,19244.27932,1,12211,Theeviravaathi: The Terrorist,2000,Theeviravaathi: The Terrorist,1998,1.401214455
boondoc99ints,The Boondock Saints,2000,1/21/00,January,Friday,3,30471,42696.40566,195958,7.9,44,7.9,Indic.,5,19930,27926.20409,5,1212,The Boondock Saints,2000,The Boondock Saints,1999,1.401214455
downtoy00oyou,Down to You,2000,1/21/00,January,Friday,3,20069008,28120984.11,12172,4.9,13,6.4,Mira.,2003,7602507,10652742.7,1971,1111000,Down to You,2000,Down to You,2000,1.401214455
bigteas99ease,The Big Tease,2000,1/28/00,January,Friday,4,187152,262240.0877,2125,6.3,53, ,WB,4,29010,40649.23134,4,122100,The Big Tease,2000,The Big Tease,1999,1.401214455
eyeofth99lder,Eye of the Beholder,2000,1/28/00,January,Friday,4,16500786,23121139.86,13239,4.9,29,1.4,Dest.,1751,5959447,8350463.28,1751,1001111000,Eye of the Beholder,2000,Eye of the Beholder,1999,1.401214455
grizzly99alls,Grizzly Falls,2000,1/28/00,January,Friday,4,168874,236628.6899,449,5.9,34, ,Prov.,96,65802,92202.71357,96,121000,Grizzly Falls,2000,Grizzly Falls,1999,1.401214455
isn'tsh00reat,Isn't She Great,2000,1/28/00,January,Friday,4,2962465,4151048.78,1954,5.3,34, ,Uni.,750,1368705,1917849.231,750,1111000,Isn't She Great,2000,Isn't She Great,2000,1.401214455
restaur98rant,Restaurant,2000,1/28/00,January,Friday,4,75232,105416.1659,486,6.2,62, ,PEC,24,11750,16464.26985,24,121101,Restaurant,2000,Restaurant,1998,1.401214455
