id,releasedate,title,genre,budget,revenue,year,has_trailer
0,2017-12-31,0.03 Seconds,Documentary,,$0,2017,False
1,2016-12-31,07:19 La Hora del Temblor,Drama,,$0,2016,False
2,2014-01-28,1,Documentary,,$0,2014,False
3,2016-10-14,1:54,Drama,,$0,2016,False
4,2016-12-31,1 Kezban 1 Mahmut: Adana Yollarında,Comedy,,$0,2016,False
5,2017-04-07,1 Mile to You,Drama,,$0,2017,False
6,2012-06-08,1 Out Of 7,Drama,,$0,2012,False
7,1979-10-05,10,Romantic Comedy,,"$52,134,699",1979,False
8,2008-03-07,"10,000 B.C.",Adventure,"$105,000,000","$94,784,201",2008,False
9,2015-07-24,10 Cent Pistol,Thriller/Suspense,,$0,2015,False
10,2016-03-11,10 Cloverfield Lane,Thriller/Suspense,"$5,000,000","$72,082,999",2016,True
11,2015-11-11,10 Days in a Madhouse,Drama,"$12,000,000","$14,616",2015,False
12,2015-12-31,10 Endrathukulla,Action,,$0,2015,False
13,2013-08-31,10 Habits of Highly Effective People,,,$0,2013,False
14,2006-09-05,10 Minute Solution: Rapid Results Pilates,Instructional,,$0,2006,False
15,2007-08-24,10 Questions for the Dalai Lama,Documentary,,"$224,546",2007,False
16,2014-04-04,10 Rules for Sleeping Around,Romantic Comedy,,$0,2014,False
17,2014-12-31,10 Things I Hate About Life,Romantic Comedy,,$0,2014,False
18,1983-03-11,10 to Midnight,Action,,"$7,175,592",1983,False
19,2012-09-14,10 Years,Drama,,"$203,654",2012,False
20,2000-03-24,100% Arabica,,,"$5,428",2000,False
21,2013-06-28,100 Bloody Acres,Black Comedy,,"$6,388",2013,False
22,2017-12-31,100 Bullets,Action,,$0,2017,False
23,2016-12-31,100 Metros,Drama,,$0,2016,False
24,2006-05-23,100 Rifles,Western,,$0,2006,False
25,2017-01-13,100 Streets,Drama,,$0,2017,False
26,2012-08-25,"1,000 Times More Brutal",Drama,,$0,2012,False
27,2014-12-31,"10,000 Days",Adventure,,$0,2014,False
28,2015-07-10,"10,000 KM",Drama,,$0,2015,False
29,2016-12-31,"10,000 Miles",Drama,,$0,2016,False
30,2015-05-08,1001 Grams,Drama,,"$10,983",2015,False
31,1961-01-25,101 Dalmatians,Comedy,,"$153,000,000",1961,False
32,1996-11-27,101 Dalmatians,Comedy,,"$136,189,294",1996,False
33,2015-06-09,101 Dalmations II: Patch's London Adventure,Adventure,,$0,2015,False
34,2001-07-25,101 Reykjavík,Comedy,,"$109,277",2001,False
35,2000-11-22,102 Dalmatians,Comedy,"$85,000,000","$66,941,559",2000,False
36,2017-04-15,1040 Not so EZ,,,$0,2017,False
37,2011-12-31,105 Degrees and Rising,Drama,,$0,2011,False
38,2014-09-12,108 Stitches,Comedy,,$0,2014,False
39,2006-08-18,10th & Wolf,Drama,"$8,000,000","$54,702",2006,False
40,2017-12-31,11,Thriller/Suspense,,$0,2017,False
41,2003-07-11,11'09''01 - September 11,Drama,,"$126,694",2003,False
42,2011-11-11,11-11-11,Horror,,"$38,100",2011,False
43,2005-08-12,11:14,Drama,"$6,000,000",$0,2005,False
44,2010-10-20,11/4/08,Documentary,,$0,2010,False
45,2015-06-30,11 minut,Thriller/Suspense,,$0,2015,False
